timestamp,name,utilization.gpu,memory.used,memory.total
2026/04/24 00:43:53.754, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:54.756, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:55.757, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:56.759, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:57.760, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:58.761, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:43:59.763, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:00.764, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:01.765, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:02.766, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:03.769, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:04.770, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:05.771, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:06.772, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:07.774, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:08.775, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:09.776, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:10.777, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:11.779, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:12.781, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:13.783, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:14.785, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:15.786, NVIDIA TITAN RTX, 35, 10875, 24576
2026/04/24 00:44:16.787, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:17.788, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:18.789, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:19.791, NVIDIA TITAN RTX, 36, 10875, 24576
2026/04/24 00:44:20.792, NVIDIA TITAN RTX, 19, 10875, 24576
