timestamp,name,utilization.gpu,memory.used,memory.total
2026/04/24 01:51:17.069, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:18.071, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:19.072, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:20.073, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:21.074, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:22.076, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:23.077, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:24.077, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:25.080, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:26.082, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:27.084, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:28.088, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:29.089, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:30.090, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:31.092, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:32.093, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:33.094, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:34.095, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:35.096, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:36.098, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:37.099, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:38.100, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:39.101, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:40.102, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:41.104, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:42.105, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:43.106, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:44.107, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:45.109, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:46.110, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:47.111, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:48.112, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:49.114, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:50.115, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:51.116, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:52.117, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:53.118, NVIDIA TITAN RTX, 37, 12505, 24576
